class_mark,text_review
1,"Матрица Ищите в фильме смысл. Вы его увидите.У любого технически-грамотного человека этот фильм найдет отзвук в сердце. Главные технические идеи, собранные в матрице, будут держать и вдохновлять десятилетиями многих начинающих и зрелых программистов, да и не только их. Одна из них - построение системы искусственного интеллекта, превосходящего человеческий. Эта идея далеко не нова и братья Вашовски не стали ее первооткрывателями, но в том-то и сама прелесть кинематографа - преподносить в доступной и завершенной форме 'реально' существующие воплощения того, что пока есть только в головах самых продвинутых ученных, ведь они редко могут доступно описать свои идеи своим же коллегам, не говоря уже о том, чтобы эти идеи стали понятны миллионам. И не только понятны, но еще стали бы побуждающим фактором. В этом фильме, пронизанном философией построения общества из самосознания отдельных людей в виртуальной среде, общества, которое никогда не сможет осознать реальную 'природу' вещей, если их не просветить извне, - в этом фильме совсем не важны экшин и обилие спецэффектов, гениальная игра актеров и гениальность постановки сцен, хотя и они в картине на высоте. Смотря матрицу важно думать о ОБЩЕМ смысле происходящего, сопоставлять и размышлять. А размышлять есть над чем - поскольку, скорее всего и наш мир, в какой-то степени, есть 'подобная'"
1,"Зеленая миля «Зеленая миля» Фрэнка Дарабонта – один из тех ярчайших фильмов-шедевров, которые оказались в свое время непризнанными. Как только эта картины вышла в широкий прокат, в ее адрес моментально посыпались возможные гневные и нелестные отзывы. Многие ругали и по сей день ругают ее за чрезмерную и излишнюю мистичность, кому-то здесь не хватило драмы, которую эта самая мистичность и вытеснила, а кто-то просто не может определится с жанром этой картины. На мой же лично вкус, «Зеленая миля» - кино отличное. Да, есть здесь место вышеуказанным огрехам, но чтобы настолько критиковать это кинополотно - это уж, извините, товарищи критики, перебор. Как-то мне довелось лицезреть одну англоязычную статейку одного известного и авторитетного американского кинокритика, имени которого мне сейчас уже не вспомнить. Так вот, он всячески поливал грязью творение Дарабонта, утверждал, что это второсортный продукт, что режиссер взял за основу другие картины и слепил из них эту, по его мнению, через чур «золотоносную» историю. Естественно я с этим мнением не согласился. Во-первых, с чего он взял, что «Миля» - этакий плагиат, ведь за основу взято произведение Стивена Кинга. Получается, что автора первоисточника нужно обвинить в плагиате, правда вот остается непонятным, где этот «кинокритик» видел подобное кино, очень было бы интересно на него посмотреть."
1,"1+1 Это моя первая рецензия, так что не судите строго. Фильм 1+1 (неприкасаемые), произвел на меня очень сильное впечатление. В фильме рассказывается история богатого аристократа, парализованного в результате несчастного случая. История как он не опустил руки и продолжает радоваться жизни. Хотя на эту тему снято множество фильмов, написано стони книг и статей, почему-то именно этот фильм мне хочется выделить отдельно. Очень хорошо, на мой взгляд, что фильм совмещает в себе как драму (основную линию повествования), так элементы комедии, юмора. Так же в фильме ярко показаны взаимоотношения, на первый взгляд, абсолютно разных людей. Затрагиваются многие проблемы, в том числе и проблема 'отцов и детей'. Красноречиво показывается изменение жизни главных героев, в особенности Дриса, на протяжении картины. Так же добавляет плюсов данной картине тот факт, что венчает ее хороший, может быть даже наилучший в имеющейся ситуации, конец. Этот фильм который при возможности, обязательно стоит посмотреть! 10 из 10"
1,"Список Шиндлера Фильм - шедевр своего жанра. История народа, которую не исправить и не забыть. Фильм о самой бесчеловечной стороне войны. И наконец, картина о человеке, отличавшегося от остальных членов нацистской партии. Потому стоит отдать должное Спилбергу за то, что он вложил душу и личные переживания на эту тему. 'Список Шиндлера' - отличное историческое кино без излишнего драматизма, но практически с полным соответствием той атмосфере, царившей в период холокоста. Поначалу Шиндлер и его фабрика воспринимались как исключительно корыстный бизнес, показывающий, что для кого-то война - это убийства, жестокость и борьба за господство, а для кого-то - отличный способ заработать на дешевой рабочей силе. Но, как оказалось, Шиндлер - это действительно светлое пятно для несчастных евреев, сумевший хитро скрывать свои истинные намерения перед нацистами, оказавшийся человеком с большой буквы среди всего этого фашистского хаоса! Этот фильм с точки зрения сюжета, постановки, актеров и другого оказался очень сильным, целостным и поистине заслужившим входить в золотую коллекцию мирового кинематографа. Эта картина будто вобрала в себя частичку души настрадавшегося народа, заставила даже самого равнодушного зрителя остаться после просмотра, мягко говоря, потрясенным от увиденного. Потому эту картину много описывать не стоит ибо прочувствовать это должен каждый. Скажу только одно: не дай, Бог, чтобы когда-нибудь подобное"
1,"1+1 Как-то читал я в одной интересной рецензии, на тарантиновского «Джанго», про напряженную американскую толерантность. Автор предполагал, что где-то в подпольных барах, на манер бойцовских клубов, собираются здоровые представители белой расы и выкрикивают различные не толерантные лозунги! Потому что нельзя держать в постоянном контроле свой язык, мысли и в конечном итоге сознание. Нужна разрядка. Американцы уже не могут, как Данила Багров, негров называть неграми, просто для обозначения, без примеси любой националистической ереси. Хотя и европейские тенденции далеко ушли от истин простого русского парня, только в ту ли сторону. На мой взгляд, небывалый успех фильма «Intouchables» как раз в точном угадывании настроения европейцев. Конечно неофициального настроения, некого аналога советских кухонных разговоров. Авторы не бояться называть черное черным, а белое белым. Неспроста одного из реальных прототипов в фильме заменил негр, для большей, так сказать, наглядности. Для тех же целей нам долго показывают кипенно-белую ванную комнату, которая тут же монтируется с крупным планом темнокожего героя. Такие визуальные игры в фильме удаются, может быть только по одной простой причине – честность. Да, это очень честный фильм. Жизнь простого черного парня и его рабочего района показывается без романтизации, иногда присущей рэп-культуре, но и без нарочитого смакования мерзких подробностей, как в плохих «социальных» фильмах. В свою"
1,"Зеленая миля Многие пишут, что они посмотрели этот фильм только сейчас и, что поэтому им очень стыдно... Я сама посмотрела его не так давно, но мне совершенно не совестно, потому что, посмотри я его раньше, я бы просто не поняла этого фильма, всей его прелести, красоты и глубины! Это просто необыкновенный фильм, я еще никогда не видела ТАКОГО фильма! Такого вроде бы на первый взгляд мрачного и страшного фильма, но на самом деле прошитый нитками светлой доброты! Каждый надсмотрщик тюрьмы светлый, добрый человек (конечно, если не говорить о Перси), который может проявить сострадание. Том Хенкс просто великолепен в роли Пола, с самого первого кадра я начинаю верить в его историю, в его жизнь, а это дорогого стоит. Нужно обладать не дюжим талантом, чтобы завлечь зрителя с самого первого кадра и первого мгновения истории. Так же в фильме были бесподобны Девид Морс, Бэрри Пеппир, Джеффри ДеМун, ну и конечно, Даг Хадчинсон, так бесподобно сыгравшего главного и единственного отрицательного героя Перси Ветмора, его начинаешь ненавидеть и в тоже время жалеть за его слабость и трусость. Отдельная история это Майкл Кларк Дункан, который просто безупречно передал простоту, доброту, и невероятно глубокую душу Джона Коффи. Это великан с душой маленького ребенка, который никогда в"
1,"Зеленая миля И вот я, под впечатлением от 'Побега из Шоушенка', познакомилась со вторым главным творением Фрэнка Дарабонта и Стивена Кинга - 'Зеленая миля'. На протяжении всего фильма меня не покидала мысль, что я смотрю отличную ленту, но однозначно иного режиссера, и Фрэнк здесь вовсе не причем. Сейчас, понимая, что это детище того же творческого дуэта, я могу только преклониться перед талантом двух этих людей - снимать кино настолько разное по своей сути и стилю, сохраняя при этом высочайший уровень и безупречность, это ли не талант? Я не могу провести параллели между двумя картинами, настолько полюбившимися публикой, но различными в корне. Да, оба фильма о тюрьме - но настолько разной тюрьме, что сравнивать их нет смысла и они кажутся, если не противоположными, то по крайней мере очень контрастными. Мало того, что это разное время, но это, помимо всего, разные жанры, судьбы, характеры, да и, в конце концов, разный смысл. Покажите мне того, кто пытается сравнить два безумных творения, и я отговорю его от этой затеи, пускай делать это совсем не умею. Первое, что приходит на ум, когда садишься писать рецензию - нужно настоятельно рекомендовать не смотреть фильм тем, кто психологически не силен. Но подумав немного, я все же решила, что"
1,"Зеленая миля Это что-то невероятное, что-то запоминающееся на всю жизнь! Это фильм, который вытворяет с твоей психикой все что хочет, после чего выкидывает ее на обочину, абсолютно опустошенную, ничего не соображающую! Можно говорить, что в наше время множество фильмов с глубокой психологической нагрузкой шедевры, что все фильмы, заставляющие тебя задуматься о жизни и о том, что ты в ней делаешь, гениальны, но, посмотрев этот фильм, ты поймешь, что все они почти ничто, по сравнению с 'Зеленой милей '. Актеры сыграли просто гениально! Особенно хотелось бы отметить, конечно, Тома Хенкса и Майкла Кларка Дугласа. Оба образа сыграть неимоверно сложно, так как в них заложена основная психологическая нагрузка. Хотя нельзя забывать и про остальные роли - все они сыграны настолько гениально и тонко, что остается только снять перед ними шляпу, как и перед всей съемочной группой. Отдельное слово хотелось бы сказать о режиссере. Фрэнк Дарабонт сделал что-то из ряда вон выходящее. В роли режиссера он выступал всего в семи фильмах, но среди этих фильмов 'Зеленая миля ' и 'Побег из Шоушенка ' - шедевры на все времена, которые он сотворил в тандеме со Стивеном Кингом. Это шедевр на все времена! Он заставляет пересмотреть взгляд на жизнь. Как говорят главные герои фильма, если"
1,"Назад в будущее 2 И снова Марти и снова Док, снова эти забавные и уже ставшие классикой путешествия во времени. В этом фильме героям предстоит побывать в будущем, прошлом, настоящем и снова прошлом. В будущем всё плохо – проблемы с детьми Марти, чей сын уродился прямо в деда, а дочь – вылитый Марти (кстати, отличная хохма сценаристов и Майкла Джей Фокса). Редко, когда сиквел получается отличным и в некоторых моментах даже превосходит приквел. «Назад в будущее II» - отличный сиквел. Более динамичный и запутанный. Фишка фильма в том, что здесь пересекается вторая часть с первой. Появляется возможность увидеть приквел совсем с другой стороны, с другого угла. Отличная идея сценаристов. В фильме отлично передана атмосфера 50-ых, как и в первом фильме, но всё же главная заслуга декораторов и художников – это атмосфера будущего. Кто знает, что будет в том...2015 году. Может, и на самом деле машины наконец-то поднимутся ввысь…Какое оно будущее? В этом фильме оно представляется модернизированным. Телевизоры на шесть каналов параллельно, машины, перемещающиеся только по воздуху, дети, давно позабывшие о скейтбордах и катающиеся, верней, летающие на гидро-досках (кстати, которые реально были созданы, но родители побоялись за своих детей). Какое оно будущее? Не такое уж и фантастическое. Здесь нет каких-либо гуманоидных"
1,"Матрица Ищите в фильме смысл. Вы его увидите.Культовой можно назвать картину, ставшей водоразделом и определенной вехой в развитии кинематографа. Исходя из этого определения, 'Матрица' тогда еще братьев Вачовски- по праву вещь, изменившая расстановку сил в определении зрелищного, кассового потенциала фильмов. Это удалось осуществить благодаря правильному пониманию целевой аудитории ленты и благоприятному времени выхода на экраны. 1999 год- год, переломный для внедрения технологий в обыденный ритуал жизни человека. В наступающем ХХI веке каждый шаг любого обитателя Земли тем или иным образом сопровождается использованием разнообразных гаджетов, без которых порой начинает складываться ощущение полной беспомощности. Такая зависимость от высоких технологий очень напоминает пресловутую Матрицу, в которую загружено все человечество в соответствии со сценарием одноименной картины, где каждое действие уже предсказано умной программой и по сути лишает свободы воли. Уже в 1999 году увлекающаяся компьютерами молодежь понимала всю важность происходящих перемен и отлично среагировала на актуальный на тот момент жанр 'кибер-панк' Не стоит забывать, что с наступлением нового тысячелетия в мире царила всеобщая истерика в отношении 'Проблемы 2000 года', как раз посвященной сбоям в работе программного обеспечения. Что может быть привлекательнее для напуганного зрителя, чем возможный антиутопический апокалипсис на экране, отражающий царящие в обществе опасения (сразу же на ум приходит лента '2012', не обладающая"
